start,end,duration_days,max_intensity_degC,mean_intensity_degC
2015-11-08,2016-03-07,121,0.8551568984985352,0.4771432655901949
2016-03-25,2016-05-01,38,1.4547442436218265,0.5864466842852138
2016-06-05,2016-06-09,5,0.25678787231445455,0.14974094390869155
2016-07-06,2016-07-14,9,0.7338508605957017,0.39580264621310707
2016-09-01,2016-09-26,26,0.5557844161987298,0.31879111803494986
2016-09-29,2017-01-06,100,0.7495685577392557,0.45767868995666505
2017-03-01,2017-03-12,12,0.15345535278320277,0.07542895476023359
2017-03-20,2017-04-20,32,0.9353157043457028,0.35743353068828554
2017-05-14,2017-05-18,5,0.46614151000976634,0.33368618011474566
2017-05-25,2017-07-03,40,1.201126289367675,0.6399054098129275
2017-07-07,2017-07-17,11,0.9123424530029283,0.5382772098888047
2017-07-31,2017-08-14,15,0.8127588272094712,0.44316963195800746
